difficulty,daysUntilDeadline,daysSinceCreation,status,assigneeCount,assigneeLoad,statusChangesCount,plannedDurationDays,actualCompletionDays,isDelayed
2,-7,31,new,1,3,8,24,25,1
1,10,33,new,1,4,0,43,24,0
1,28,19,cancelled,1,11,5,47,43,0
4,-1,13,new,0,0,4,12,15,1
5,-11,26,review,1,10,0,15,32,1
1,-9,45,new,1,5,3,36,37,1
3,20,1,review,1,0,2,21,21,0
4,-5,20,review,1,12,0,15,34,1
1,13,8,review,1,5,8,21,21,0
2,32,9,cancelled,0,0,6,41,69,1
4,-14,21,new,0,0,6,7,16,1
1,37,11,cancelled,1,0,6,48,44,0
2,19,3,cancelled,1,11,3,22,31,1
4,-11,70,done,1,1,8,59,115,1
5,-16,30,in_progress,1,12,6,14,34,1
5,-6,60,done,0,0,2,54,132,1
5,20,12,in_progress,1,11,4,32,79,1
5,-14,38,new,1,11,5,24,30,1
4,7,18,done,1,10,4,25,62,1
4,34,11,review,1,8,3,45,84,1
3,6,19,done,1,0,8,25,18,0
4,-20,59,new,0,0,2,39,82,1
2,13,26,done,1,0,5,39,37,0
5,15,13,done,1,6,4,28,76,1
5,-4,29,new,0,0,7,25,39,1
3,22,14,done,1,1,2,36,39,1
2,16,22,in_progress,1,12,3,38,37,0
1,10,42,review,1,9,6,52,64,1
2,-8,11,new,1,9,4,3,4,1
4,-15,18,in_progress,1,6,4,3,5,1
5,-6,34,cancelled,1,2,7,28,41,1
4,6,19,cancelled,1,0,7,25,37,1
5,-14,18,review,1,7,6,4,9,1
4,1,49,cancelled,1,7,4,50,104,1
2,29,13,cancelled,1,11,7,42,77,1
5,-15,19,in_progress,1,1,4,4,5,1
4,-4,31,done,1,7,0,27,29,1
3,-2,61,new,0,0,1,59,59,0
3,43,5,done,1,4,6,48,57,1
5,14,22,new,1,1,2,36,69,1
5,9,1,cancelled,0,0,6,10,28,1
3,12,20,new,1,12,2,32,72,1
4,-15,29,review,1,11,6,14,24,1
1,26,6,new,1,10,8,32,43,1
3,8,7,in_progress,0,0,7,15,33,1
2,-16,20,done,1,10,0,4,6,1
2,-7,37,new,1,11,5,30,35,1
1,-4,8,cancelled,1,1,2,4,2,0
2,54,2,review,1,9,7,56,57,1
5,-13,46,review,0,0,0,33,61,1
3,49,9,in_progress,1,2,7,58,82,1
4,5,5,in_progress,1,7,3,10,10,0
1,4,19,cancelled,0,0,6,23,21,0
2,32,6,cancelled,1,9,5,38,83,1
1,12,14,done,1,0,7,26,22,0
5,13,14,done,1,10,2,27,54,1
1,26,11,cancelled,1,9,4,37,63,1
1,45,10,review,1,9,6,55,99,1
3,-12,49,in_progress,1,2,1,37,26,0
1,-4,7,review,1,3,6,3,3,0
2,-11,14,done,1,10,4,3,7,1
5,6,29,done,1,3,3,35,52,1
5,39,9,cancelled,0,0,1,48,85,1
1,0,43,new,1,12,5,43,39,0
5,50,1,cancelled,1,8,1,51,69,1
1,-16,27,done,1,11,5,11,14,1
3,-13,58,review,1,8,6,45,49,1
3,16,43,review,1,7,0,59,113,1
1,-2,54,review,1,1,8,52,64,1
5,20,5,in_progress,1,12,5,25,52,1
5,-17,59,done,1,9,6,42,112,1
2,41,11,review,1,8,6,52,55,1
3,-16,24,in_progress,1,5,6,8,10,1
5,-19,41,done,1,0,8,22,24,1
2,-2,36,in_progress,1,9,5,34,46,1
3,41,1,review,0,0,5,42,73,1
5,39,0,in_progress,1,6,4,39,73,1
5,9,1,new,1,3,1,10,14,1
3,27,10,new,0,0,3,37,40,1
5,-8,34,done,1,5,1,26,44,1
4,-3,23,done,1,4,2,20,32,1
3,-1,5,cancelled,1,3,1,4,6,1
1,24,0,cancelled,1,6,8,24,24,0
4,-1,45,new,1,9,7,44,88,1
4,-18,46,in_progress,1,10,6,28,62,1
1,10,20,new,1,0,2,30,27,0
5,-12,15,review,1,11,7,3,5,1
1,0,24,done,1,10,4,24,47,1
1,30,6,done,1,6,7,36,42,1
1,-11,31,done,1,4,8,20,22,1
4,-15,20,cancelled,1,9,6,5,11,1
4,14,2,done,1,3,4,16,29,1
2,-15,19,cancelled,1,8,7,4,3,0
3,-20,23,cancelled,1,8,1,3,4,1
3,7,6,new,1,7,3,13,22,1
3,4,3,cancelled,0,0,2,7,13,1
2,-14,36,done,1,5,4,22,25,1
2,1,13,in_progress,1,9,5,14,19,1
4,-12,48,in_progress,1,9,8,36,80,1
4,25,5,new,1,11,1,30,73,1
1,-10,41,done,1,4,1,31,31,0
1,-3,46,review,1,1,3,43,26,0
5,-8,33,in_progress,1,2,8,25,43,1
2,-20,39,new,1,10,5,19,30,1
4,-19,36,in_progress,1,9,4,17,29,1
2,-13,16,cancelled,1,12,6,3,4,1
2,-20,44,new,1,12,2,24,44,1
1,-6,61,done,1,0,5,55,60,1
2,25,16,new,1,9,6,41,79,1
2,-18,54,in_progress,0,0,2,36,49,1
2,-5,43,review,1,10,0,38,44,1
2,-11,66,in_progress,1,3,1,55,66,1
3,0,15,in_progress,1,4,5,15,14,0
2,8,23,done,1,5,7,31,42,1
4,-1,4,done,1,2,3,3,4,1
2,0,25,review,1,2,8,25,31,1
2,-4,58,cancelled,1,6,2,54,64,1
3,17,4,done,1,2,8,21,19,0
3,48,6,review,0,0,8,54,120,1
4,3,6,done,1,2,6,9,12,1
1,47,11,cancelled,1,0,2,58,58,0
4,19,0,done,1,7,0,19,29,1
3,4,16,cancelled,1,3,4,20,17,0
3,1,8,cancelled,1,6,5,9,11,1
1,-14,24,in_progress,0,0,2,10,11,1
5,29,19,in_progress,1,3,2,48,63,1
4,-15,43,review,0,0,7,28,52,1
3,-6,14,cancelled,1,5,2,8,5,0
3,55,5,in_progress,1,11,4,60,147,1
4,-15,66,in_progress,1,12,6,51,75,1
3,12,37,cancelled,1,5,2,49,32,0
4,18,4,done,1,6,7,22,46,1
2,4,44,done,1,8,3,48,44,0
2,42,7,new,1,1,5,49,54,1
1,-16,22,done,1,3,7,6,4,0
3,3,36,review,1,4,0,39,31,0
4,-8,15,in_progress,1,3,7,7,14,1
3,-10,42,cancelled,1,7,1,32,54,1
3,-3,11,new,1,12,7,8,10,1
1,-8,44,review,1,11,1,36,39,1
4,19,0,review,1,3,4,19,37,1
4,49,6,in_progress,1,5,0,55,66,1
2,14,18,cancelled,1,0,6,32,39,1
2,35,9,review,1,8,8,44,52,1
3,9,10,new,1,5,7,19,30,1
5,51,9,done,1,11,7,60,154,1
2,-7,48,cancelled,1,12,1,41,81,1
1,27,6,review,1,10,8,33,30,0
1,-8,15,new,1,6,2,7,5,0
3,-13,39,done,1,3,2,26,16,0
2,24,10,in_progress,1,5,8,34,40,1
2,6,46,in_progress,1,8,6,52,44,0
1,27,28,cancelled,1,11,1,55,75,1
1,-6,15,new,1,9,7,9,15,1
2,-12,21,done,1,9,1,9,18,1
3,16,9,review,1,1,5,25,26,1
3,44,0,in_progress,1,9,2,44,44,0
3,-15,43,cancelled,1,0,6,28,42,1
1,-8,53,done,1,2,7,45,34,0
1,-11,56,done,1,7,8,45,41,0
3,29,2,review,1,12,2,31,65,1
4,2,21,new,1,6,2,23,37,1
3,37,1,new,1,1,0,38,55,1
5,-8,29,in_progress,1,3,8,21,41,1
5,25,8,review,1,12,4,33,62,1
5,-2,37,in_progress,1,11,2,35,68,1
2,-5,12,in_progress,1,9,4,7,9,1
3,-15,49,cancelled,1,10,4,34,56,1
2,-3,7,review,1,1,4,4,5,1
3,17,15,review,1,8,4,32,67,1
2,-18,21,done,1,5,5,3,4,1
4,27,21,review,1,9,0,48,54,1
5,-4,56,in_progress,1,9,5,52,132,1
5,-10,67,review,0,0,2,57,116,1
4,3,31,cancelled,1,0,8,34,53,1
2,14,15,cancelled,1,8,3,29,25,0
4,6,50,done,1,1,2,56,74,1
3,-5,34,done,1,11,4,29,32,1
1,2,55,in_progress,1,10,7,57,92,1
2,29,26,new,1,1,1,55,47,0
5,6,23,done,0,0,3,29,55,1
5,-16,20,in_progress,1,9,2,4,10,1
3,-12,16,new,1,4,3,4,5,1
1,20,38,cancelled,1,7,0,58,77,1
2,-3,10,new,0,0,0,7,6,0
3,3,41,review,1,8,4,44,48,1
2,56,1,done,1,7,4,57,83,1
1,-12,71,done,0,0,8,59,97,1
3,-6,13,cancelled,1,2,1,7,7,0
1,-13,54,done,1,11,6,41,63,1
4,25,0,done,1,5,2,25,23,0
2,4,32,in_progress,0,0,5,36,60,1
5,4,8,in_progress,1,5,1,12,20,1
4,14,24,done,1,1,7,38,77,1
4,-1,29,done,1,8,0,28,31,1
5,-3,20,new,1,1,0,17,19,1
2,5,17,done,1,6,8,22,34,1
3,30,9,done,0,0,4,39,68,1
3,4,45,review,1,0,7,49,39,0
2,23,10,new,1,3,0,33,37,1
1,22,14,review,1,10,2,36,45,1
1,12,7,review,1,6,3,19,15,0
2,26,23,new,1,3,0,49,50,1
2,-14,61,review,1,6,4,47,58,1
1,-12,28,new,1,2,8,16,22,1
1,-19,41,review,1,8,3,22,26,1
4,-7,24,done,1,12,1,17,38,1
4,-2,16,review,1,3,6,14,19,1
3,-1,24,new,1,11,7,23,43,1
1,-9,32,done,1,4,6,23,14,0
2,38,2,review,0,0,3,40,39,0
5,26,29,done,1,0,5,55,105,1
5,-3,16,review,0,0,5,13,21,1
2,-4,11,done,1,7,4,7,8,1
1,2,49,new,0,0,7,51,70,1
1,17,30,in_progress,1,2,2,47,28,0
2,45,0,done,0,0,6,45,63,1
2,-14,63,done,1,8,7,49,61,1
5,12,35,done,1,1,8,47,79,1
1,-17,30,done,1,10,1,13,22,1
2,-11,39,review,1,1,1,28,22,0
1,0,50,cancelled,0,0,5,50,69,1
4,-7,53,done,1,10,3,46,65,1
1,35,8,in_progress,1,0,7,43,27,0
1,41,9,review,0,0,0,50,52,1
4,28,0,review,0,0,2,28,43,1
2,-1,15,cancelled,1,11,8,14,17,1
5,-9,60,review,1,11,8,51,128,1
2,-20,49,done,0,0,7,29,34,1
3,-11,48,in_progress,1,9,7,37,57,1
4,-19,45,in_progress,1,12,6,26,32,1
2,16,38,cancelled,1,2,0,54,43,0
1,5,20,review,1,12,5,25,34,1
3,-6,43,cancelled,0,0,7,37,41,1
5,26,8,new,1,8,7,34,59,1
3,3,23,new,0,0,2,26,22,0
1,9,15,new,1,9,3,24,27,1
2,0,31,done,1,9,5,31,63,1
2,-18,28,in_progress,1,10,5,10,16,1
5,-5,35,in_progress,1,8,2,30,34,1
4,10,33,cancelled,1,7,5,43,94,1
1,-17,52,review,1,8,8,35,38,1
3,2,43,in_progress,1,1,6,45,49,1
4,-8,41,cancelled,1,11,8,33,89,1
3,-11,18,new,1,11,2,7,13,1
5,-3,29,review,1,2,0,26,48,1
3,-19,29,in_progress,1,1,2,10,7,0
4,-19,75,cancelled,0,0,0,56,123,1
1,-12,36,in_progress,1,8,1,24,30,1
5,-18,40,review,1,12,4,22,27,1
3,30,5,in_progress,1,2,6,35,53,1
4,-12,15,review,1,0,1,3,3,0
5,8,7,in_progress,1,8,5,15,31,1
4,12,31,new,1,4,3,43,47,1
1,-14,57,done,0,0,0,43,56,1
5,9,37,in_progress,1,1,3,46,49,1
5,6,15,done,1,4,6,21,34,1
1,19,22,done,1,10,0,41,31,0
4,-7,31,cancelled,1,8,3,24,31,1
2,5,14,review,1,10,2,19,16,0
3,-6,40,done,0,0,1,34,41,1
2,15,10,cancelled,1,8,2,25,23,0
4,-19,64,cancelled,1,9,6,45,104,1
1,42,16,done,0,0,7,58,49,0
1,4,15,in_progress,1,10,6,19,28,1
3,29,21,in_progress,1,12,5,50,87,1
1,-7,27,done,1,12,3,20,24,1
3,5,53,in_progress,1,1,8,58,88,1
2,26,16,review,0,0,5,42,46,1
5,6,4,done,1,9,0,10,22,1
1,10,10,done,1,4,6,20,24,1
3,4,5,done,1,11,7,9,11,1
2,-14,67,cancelled,1,6,1,53,37,0
2,-3,51,in_progress,1,12,6,48,83,1
5,2,8,cancelled,1,7,8,10,13,1
4,35,25,done,1,5,7,60,53,0
2,-1,4,done,1,9,8,3,6,1
5,-7,46,in_progress,1,2,6,39,75,1
3,14,29,review,1,0,4,43,36,0
1,11,25,cancelled,1,6,7,36,64,1
1,5,15,cancelled,1,4,8,20,12,0
5,-13,72,cancelled,1,7,7,59,101,1
2,-19,40,cancelled,1,10,1,21,19,0
3,6,0,cancelled,1,2,0,6,5,0
2,-13,21,done,1,8,3,8,9,1
3,26,32,new,1,2,4,58,80,1
1,-18,69,in_progress,1,5,0,51,25,0
4,46,1,in_progress,0,0,6,47,123,1
3,11,39,in_progress,1,7,4,50,72,1
1,-4,24,done,1,5,2,20,9,0
4,-13,73,cancelled,1,9,0,60,100,1
4,36,9,done,1,5,7,45,74,1
1,0,8,new,1,10,6,8,11,1
5,11,0,new,1,7,6,11,13,1
4,35,25,done,1,0,7,60,75,1
5,24,16,new,0,0,8,40,92,1
5,13,23,review,0,0,1,36,64,1
4,-12,20,cancelled,1,7,5,8,14,1
4,6,20,done,1,1,1,26,40,1
2,-6,46,cancelled,1,11,3,40,51,1
2,28,26,new,1,6,8,54,96,1
3,-3,28,cancelled,1,0,3,25,33,1
1,-16,30,cancelled,1,4,6,14,14,0
1,10,47,new,0,0,8,57,59,1
3,16,6,done,1,11,8,22,39,1
2,19,37,done,1,2,4,56,73,1
5,20,0,in_progress,1,1,5,20,43,1
5,1,13,done,1,12,8,14,24,1
3,0,42,done,1,1,1,42,50,1
3,1,7,in_progress,1,0,5,8,14,1
3,-15,51,in_progress,1,0,4,36,60,1
4,-1,56,new,1,7,6,55,128,1
5,31,13,new,1,0,0,44,50,1
3,20,2,new,1,4,5,22,29,1
2,-14,25,cancelled,1,0,8,11,13,1
4,1,8,new,1,9,6,9,17,1
3,-3,31,in_progress,1,7,6,28,53,1
1,-17,66,in_progress,1,7,7,49,69,1
3,27,32,cancelled,1,2,0,59,78,1
4,6,6,done,1,9,7,12,23,1
3,3,26,done,1,3,1,29,41,1
3,6,8,review,1,6,8,14,28,1
4,-9,12,done,1,6,8,3,6,1
1,-3,13,cancelled,1,6,5,10,14,1
2,11,28,cancelled,1,8,2,39,52,1
4,7,30,new,1,12,7,37,76,1
2,-17,44,review,1,5,4,27,19,0
2,-13,47,new,1,6,8,34,60,1
4,-20,25,cancelled,1,8,1,5,8,1
1,-9,44,done,0,0,0,35,43,1
5,-14,45,new,1,2,2,31,29,0
1,5,20,cancelled,1,0,5,25,30,1
5,-5,37,done,1,9,3,32,49,1
3,-16,62,review,1,2,0,46,58,1
5,-17,58,done,1,4,6,41,49,1
1,8,31,new,1,2,6,39,52,1
5,-18,52,cancelled,1,1,7,34,58,1
3,-14,22,done,0,0,0,8,16,1
1,5,20,done,1,1,2,25,19,0
4,3,26,done,1,3,3,29,28,0
2,17,3,done,1,4,1,20,19,0
4,-19,67,new,1,10,8,48,103,1
5,23,18,done,0,0,0,41,96,1
1,37,23,done,1,7,7,60,64,1
2,-8,68,cancelled,0,0,6,60,61,1
1,0,5,done,1,9,3,5,5,0
1,10,8,in_progress,1,11,7,18,30,1
4,8,4,review,1,12,5,12,15,1
1,0,32,review,1,12,3,32,41,1
2,-20,46,review,1,12,0,26,40,1
1,-19,46,cancelled,1,7,6,27,28,1
3,-3,42,review,1,9,3,39,80,1
1,26,27,done,0,0,1,53,79,1
2,3,29,review,0,0,8,32,57,1
5,17,1,review,1,9,4,18,39,1
1,7,45,new,0,0,0,52,79,1
4,11,14,new,1,11,7,25,43,1
5,-17,24,cancelled,1,12,5,7,14,1
5,8,17,done,1,3,5,25,49,1
2,55,3,in_progress,1,4,2,58,66,1
4,11,21,new,1,8,0,32,37,1
1,-3,15,done,1,12,3,12,15,1
4,-17,45,in_progress,1,5,8,28,57,1
1,13,43,in_progress,0,0,2,56,73,1
3,-2,17,cancelled,1,12,7,15,21,1
5,23,14,done,1,7,4,37,85,1
5,-17,34,done,1,2,0,17,21,1
3,-12,33,cancelled,0,0,3,21,35,1
2,16,21,done,1,11,1,37,60,1
3,5,3,new,1,11,7,8,14,1
1,13,30,cancelled,1,1,1,43,31,0
3,2,43,in_progress,1,8,2,45,51,1
1,11,26,done,1,3,1,37,34,0
4,-16,51,done,0,0,8,35,53,1
3,11,26,review,1,9,4,37,48,1
4,-5,34,review,1,3,2,29,21,0
4,5,17,new,1,11,8,22,58,1
2,-1,37,in_progress,1,10,4,36,82,1
2,13,15,in_progress,1,5,2,28,20,0
1,52,8,in_progress,1,2,2,60,53,0
4,-1,5,new,0,0,0,4,9,1
2,20,38,review,1,7,4,58,52,0
3,2,2,review,1,0,4,4,6,1
5,-9,66,in_progress,1,5,6,57,75,1
3,48,7,in_progress,1,2,4,55,62,1
4,19,36,new,0,0,7,55,100,1
5,2,5,in_progress,1,8,7,7,16,1
2,10,16,done,1,2,5,26,17,0
2,18,29,review,1,3,8,47,58,1
3,31,27,review,1,3,8,58,80,1
1,2,11,cancelled,1,1,3,13,8,0
4,-12,50,new,1,5,4,38,43,1
3,-14,42,new,1,5,1,28,30,1
3,-12,57,review,1,12,1,45,87,1
5,0,17,review,0,0,6,17,36,1
1,-15,36,review,1,2,3,21,21,0
4,-20,29,cancelled,1,0,8,9,14,1
2,-12,16,review,1,12,4,4,4,0
2,14,2,new,1,10,0,16,29,1
5,3,35,new,1,12,6,38,111,1
1,-3,8,review,0,0,1,5,8,1
5,11,35,review,1,2,7,46,71,1
3,30,1,review,1,2,5,31,42,1
5,-13,55,cancelled,1,8,0,42,44,1
2,-9,68,review,1,12,0,59,96,1
4,14,13,in_progress,1,10,2,27,39,1
3,-2,22,in_progress,1,4,6,20,17,0
2,38,3,review,1,0,5,41,46,1
2,4,55,cancelled,0,0,5,59,55,0
4,-18,58,in_progress,1,12,8,40,60,1
2,16,23,done,0,0,0,39,66,1
2,7,3,cancelled,1,5,6,10,7,0
1,3,9,cancelled,1,7,0,12,8,0
2,-7,67,review,1,1,7,60,46,0
2,12,38,cancelled,1,6,4,50,62,1
3,-3,50,new,0,0,7,47,66,1
4,0,8,cancelled,1,1,8,8,12,1
4,18,5,in_progress,1,4,0,23,36,1
2,2,40,done,1,11,8,42,48,1
3,20,34,done,1,11,5,54,116,1
2,-7,22,in_progress,0,0,5,15,25,1
2,-12,44,new,1,1,5,32,29,0
5,-1,9,review,1,8,7,8,14,1
3,4,1,review,0,0,2,5,8,1
1,-18,34,in_progress,0,0,8,16,16,0
2,3,11,review,1,7,2,14,17,1
5,-15,48,new,1,11,6,33,97,1
2,-17,33,in_progress,1,6,4,16,14,0
2,-16,24,done,1,7,0,8,9,1
5,1,8,review,1,9,5,9,25,1
5,-6,17,in_progress,1,6,2,11,26,1
4,-12,43,done,1,9,1,31,38,1
2,-2,17,in_progress,1,6,2,15,24,1
5,-4,8,review,1,4,7,4,4,0
1,-19,41,in_progress,1,9,4,22,44,1
5,8,19,new,1,8,2,27,51,1
1,-18,68,cancelled,0,0,7,50,83,1
4,35,1,cancelled,1,9,5,36,88,1
1,15,35,cancelled,1,1,5,50,56,1
4,24,24,new,1,9,6,48,74,1
4,-4,57,in_progress,1,5,5,53,51,0
4,20,9,cancelled,1,1,5,29,41,1
5,-8,41,in_progress,1,4,1,33,48,1
5,6,40,in_progress,0,0,7,46,107,1
4,23,0,review,1,2,5,23,19,0
1,24,21,review,1,2,1,45,26,0
4,6,2,done,1,3,5,8,7,0
5,-14,56,in_progress,1,1,8,42,59,1
1,24,35,in_progress,1,1,0,59,60,1
2,-17,33,done,1,11,2,16,18,1
3,-7,19,done,1,12,2,12,15,1
3,-1,44,done,0,0,6,43,56,1
2,-15,64,review,1,12,3,49,47,0
2,-2,38,review,1,0,3,36,35,0
5,32,15,cancelled,1,4,4,47,82,1
2,0,48,done,1,4,6,48,72,1
3,6,28,review,0,0,0,34,63,1
4,2,51,cancelled,1,4,4,53,98,1
5,10,21,new,1,2,7,31,28,0
3,11,35,in_progress,1,4,4,46,83,1
1,13,15,cancelled,1,7,1,28,40,1
1,4,15,review,1,9,8,19,34,1
3,37,19,in_progress,1,4,2,56,71,1
1,31,14,in_progress,1,6,1,45,57,1
4,-14,47,review,1,7,4,33,73,1
4,-11,24,review,0,0,1,13,13,0
2,22,15,done,1,3,1,37,33,0
2,48,12,in_progress,1,9,7,60,63,1
3,8,16,new,1,4,2,24,25,1
1,11,21,review,1,3,0,32,19,0
3,-9,16,new,1,9,4,7,12,1
1,4,54,new,0,0,8,58,96,1
5,8,9,cancelled,0,0,2,17,42,1
1,21,32,new,1,8,0,53,67,1
1,13,25,in_progress,1,9,3,38,37,0
1,-10,51,cancelled,1,11,1,41,61,1
1,31,11,done,1,6,3,42,40,0
4,-12,18,done,1,4,7,6,11,1
5,-9,45,in_progress,0,0,8,36,97,1
3,12,32,done,1,3,8,44,54,1
5,-12,38,in_progress,1,4,0,26,39,1
1,-10,13,in_progress,1,10,8,3,6,1
4,0,3,new,1,10,4,3,7,1
4,-3,28,done,1,8,8,25,31,1
4,9,38,new,1,12,8,47,84,1
5,22,5,cancelled,0,0,1,27,28,1
4,12,38,review,1,3,3,50,65,1
3,2,44,done,1,5,0,46,39,0
4,-4,10,done,0,0,0,6,9,1
4,11,37,in_progress,1,5,8,48,60,1
4,-1,33,done,1,11,4,32,65,1
3,-3,40,cancelled,1,8,3,37,60,1
4,6,50,cancelled,1,10,0,56,112,1
4,-3,55,review,1,8,2,52,104,1
2,-6,17,cancelled,1,5,8,11,9,0
1,5,7,in_progress,1,10,3,12,12,0
5,-8,32,new,1,6,8,24,62,1
1,22,32,in_progress,1,8,4,54,75,1
1,-15,60,review,1,5,6,45,25,0
5,4,22,cancelled,1,1,5,26,50,1
3,36,3,new,1,5,8,39,55,1
4,-16,46,done,1,9,8,30,46,1
2,-3,23,done,1,10,6,20,44,1
5,8,41,cancelled,0,0,2,49,83,1
1,-1,6,done,1,7,6,5,8,1
3,-7,12,review,1,7,2,5,7,1
1,5,21,in_progress,1,0,2,26,25,0
2,-5,10,new,1,2,3,5,4,0
2,31,6,review,1,12,7,37,55,1
2,14,11,done,1,0,7,25,34,1
3,-11,35,review,1,7,7,24,52,1
5,28,1,done,1,3,5,29,31,1
2,-7,18,new,1,8,4,11,21,1
1,36,11,cancelled,0,0,2,47,39,0
4,-19,76,in_progress,1,4,4,57,53,0
5,-14,50,new,1,2,8,36,38,1
5,38,2,done,1,12,7,40,71,1
2,-7,27,new,0,0,4,20,19,0
1,36,21,new,1,9,1,57,79,1
4,2,7,in_progress,1,1,5,9,16,1
2,35,12,review,1,4,8,47,54,1
4,14,43,cancelled,1,11,2,57,68,1
3,19,3,done,0,0,7,22,49,1
2,11,13,new,1,11,0,24,34,1
4,-14,61,review,1,0,4,47,73,1
2,-19,41,cancelled,1,3,4,22,16,0
3,-5,61,cancelled,1,6,4,56,113,1
2,21,10,new,1,5,1,31,26,0
5,17,27,in_progress,0,0,5,44,102,1
4,1,6,review,1,9,7,7,18,1
1,22,2,review,1,10,1,24,32,1
3,7,18,in_progress,1,5,5,25,45,1
2,-9,15,new,1,8,4,6,8,1
4,-4,56,review,0,0,2,52,118,1
2,-14,17,in_progress,0,0,3,3,4,1
4,-18,37,in_progress,1,8,0,19,23,1
4,27,26,cancelled,1,1,6,53,48,0
1,-6,22,new,1,8,7,16,28,1
2,47,8,review,0,0,0,55,69,1
2,-17,27,new,1,6,4,10,15,1
3,29,27,cancelled,1,10,8,56,110,1
1,4,14,in_progress,1,10,8,18,20,1
4,16,42,done,1,0,2,58,94,1
4,12,40,done,1,5,2,52,46,0
1,27,7,in_progress,1,6,6,34,27,0
2,25,30,in_progress,1,1,1,55,46,0
4,-13,39,done,1,9,0,26,27,1
2,40,5,new,1,4,1,45,28,0
3,10,28,in_progress,0,0,8,38,40,1
3,-4,10,cancelled,1,8,2,6,10,1
4,10,50,done,1,7,8,60,98,1
3,-1,45,review,1,1,1,44,44,0
1,6,42,new,1,9,1,48,40,0
3,-18,55,done,1,0,8,37,29,0
3,5,27,new,1,0,1,32,31,0
3,-4,13,done,1,1,8,9,11,1
1,-4,29,review,0,0,7,25,36,1
5,14,33,cancelled,1,8,1,47,93,1
5,-3,14,in_progress,0,0,1,11,24,1
5,9,32,review,1,5,3,41,56,1
4,8,12,new,0,0,5,20,36,1
